IE_XML_ID;IE_NAME;IE_ID;IE_ACTIVE;IE_ACTIVE_FROM;IE_ACTIVE_TO;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IE_DETAIL_TEXT_TYPE;IE_CODE;IE_SORT;IE_TAGS;IP_PROP22;IC_GROUP0;IC_GROUP1;IC_GROUP2
9;поиск;73;Y;;;;;text;/upload/medialibrary/33d/30f04hz2waxzo8gll498yuvt4sxl010w.png;;text;search;500;;;;;
10;Маркет;74;Y;;;;;text;/upload/medialibrary/e5b/nphoto1lyll5gg42crpj19isylf7qpal.png;;text;after_menu;500;;;;;
82;поиск (зеленый);82;Y;;;;;text;/upload/medialibrary/4fe/js4379ez8y2q2q9o8mjmcv8bpndvikoh.png;;text;search_green;500;;;;;
