IE_XML_ID;IE_NAME;IE_ID;IE_ACTIVE;IE_ACTIVE_FROM;IE_ACTIVE_TO;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IE_DETAIL_TEXT_TYPE;IE_CODE;IE_SORT;IE_TAGS;IC_GROUP0;IC_GROUP1;IC_GROUP2
96;Ижевск;96;Y;;;;"Пн–Пт: с 06:30 до 21:45<br>
Сб–Вс: с 07:30 до 16:45";html;;"<span style=""color: #00af57;"">В остальное время офис находится под охраной.</span><br>
 <span style=""color: #00af57;""> </span><br>
 <span style=""color: #00af57;"">
Если вам нужно попасть в офис вне графика — заранее предупредите руководителя. Он согласует доступ и организует</span><br>
 <span style=""color: #00af57;"">
открытие помещения.</span>";html;Izh;500;;график работ;;
97;Липецк;97;Y;;;;"Пн–Пт: с 09:00 до 16:00 <span style=""color: #00af57;"">Сб–Вс: выходной</span>";html;;;text;lipetczk;500;;график работ;;
98;начисление зарплат;98;Y;;;;К кому обратиться по начислению зарплаты?;text;;Дарим подарки, предоставляем матпомощь и приглашаем на мероприятия.;text;;500;;вопросник;;
