IE_XML_ID;IE_NAME;IE_ID;IE_ACTIVE;IE_ACTIVE_FROM;IE_ACTIVE_TO;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IE_DETAIL_TEXT_TYPE;IE_CODE;IE_SORT;IE_TAGS;IP_PROP25;IC_GROUP0;IC_GROUP1;IC_GROUP2
6;логотип шапки;70;Y;;;;;text;/upload/medialibrary/2e5/6elm74j15wqcariexdcy8gd6699pu4tk.png;;text;logo_header;500;;index.php;;;
7;лого подвала;71;Y;;;;;text;/upload/medialibrary/625/m95hyoh5gx7mt2q6jk2f3efm45q1moq9.png;;text;logo_footer;500;;;;;
8;лого о нас;72;Y;;;/upload/medialibrary/dee/fo1w5v608hpt0jal6my58g0t605hdjcf.png;;text;;;text;logo_about;500;;;;;
81;логотип шапки (черный);81;Y;;;;;text;/upload/medialibrary/c16/d091w6tvf4lpg1ampautqb005hpw20pc.png;;text;logo_black;500;;index.php;;;
