IE_XML_ID;IE_NAME;IE_ID;IE_ACTIVE;IE_ACTIVE_FROM;IE_ACTIVE_TO;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IE_DETAIL_TEXT_TYPE;IE_CODE;IE_SORT;IE_TAGS;IC_GROUP0;IC_GROUP1;IC_GROUP2
42;Развитие;42;Y;;;;"Мы растем вместе<br>
Вносим вклад в промышленность<br>
Сотрудники делают то, что нужно людям<br>";html;;;text;03;500;;;;
43;Уверенность;43;Y;;;;"Даём стабильность<br>
Вы знаете, что будет завтра<br>
Мы рядом — по всей стране<br>";html;;;text;02;500;;;;
44;Люди;44;Y;;;;"Забота в действиях<br>
Мы адаптируемся, но остаёмся настоящими<br>
Мы для людей<br>";html;;;text;01;500;;;;
