IE_XML_ID;IE_NAME;IE_ID;IE_ACTIVE;IE_ACTIVE_FROM;IE_ACTIVE_TO;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IE_DETAIL_TEXT_TYPE;IE_CODE;IE_SORT;IE_TAGS;IC_GROUP0;IC_GROUP1;IC_GROUP2
21;подвал;21;Y;;;;;text;/upload/medialibrary/dee/fo1w5v608hpt0jal6my58g0t605hdjcf.png;Ситистафф - одна из крупнейших аутстаффинговых компаний в России. Мы предоставляем персонал для пищевой, деревообрабатывающей, машиностроительной и других отраслей. Уже 11 лет мы создаем рабочие места и помогаем компания масштабироваться.;text;about_footer;500;;;;
87;подвал (бонус);87;Y;;;;;text;/upload/medialibrary/59d/0846zwvveswvjfgjmt2tu0y99kwmc5lv.png;Мы хотим, чтобы работа в Ситистафф приносила не только результат, но и удовольствие. Поэтому у нас есть бонусы для сотрудников — выберите, что ближе именно вам!;text;bonus_footer;500;;;;
26;офисы;26;Y;;;/upload/medialibrary/10e/fco2dd9hqbptbux7xpm2kojhf508j8bx.png;<mark>Офисы</mark> в 8 городах;html;;;text;;500;;о нас пункты;;
27;сотрудники;27;Y;;;/upload/medialibrary/8fd/air8e404xxbkv6fysvwaigiv53z8v0dk.png;<mark>232 офисных</mark> сотрудника;html;;;text;;500;;о нас пункты;;
28;опыт;28;Y;;;/upload/medialibrary/b23/8akii9xoyz3lp3cqfg83peo77wpz6fe8.png;<mark>Более 11 лет</mark> опыта;html;;;text;;500;;о нас пункты;;
